"","alue","tunnus","väestö","tulot","suomenkieliset","ruotsinkieliset","vieraskieliset","ylempi_kork","perusaste","työttömyys","työvoima","työvoiman_ulkop","alle_15","opiskelijat","eläkeläiset"
"1","Ala-Malmi","382",6968,28263,70.3,2,27.7,13.3,32.9,13.9,48.2,51.8,18.6,8.2,25
"2","Alppikylä","415",1875,31703,77.4,2.2,20.4,11.8,24.8,8.7,58.5,41.5,21.7,7,12.9
"3","Alppila","122",4346,29365,86.8,4.4,8.8,25.6,15.2,11,69.9,30.1,5.3,7.2,17.6
"4","Arabianranta","232",7278,36192,82.5,7.9,9.6,29.5,14.9,4.9,54.4,45.6,16.9,10.6,18.2
"5","Aurinkolahti","546",8172,35760,73.7,4.1,22.2,20.6,23.4,10,52,48,14,6.1,27.8
"6","Eira","060",1050,95927,72.2,20,7.8,44.4,13.9,6.1,53.3,46.7,15.7,6.1,24.9
"7","Etelä-Haaga","291",12555,32913,83,7.8,9.2,29.3,15.6,7.3,59.1,40.9,11.9,8.3,20.7
"8","Etu-Töölö","130",14728,48667,80.4,10.8,8.8,37.9,12.8,5.8,58,42,9.6,9.1,23.3
"9","Hakuninmaa","334",2552,40200,81.5,5.2,13.3,23.7,19.3,5,48.8,51.2,17.9,8.2,25
"10","Haltiala","354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hanasaari","104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Harju","121",7244,28780,83.3,4.4,12.3,21.2,17.8,10.4,69.4,30.6,3.8,8.9,17.9
"13","Heikinlaakso","412",2896,38435,82.3,2,15.7,18.5,24,7.6,51.6,48.4,20.7,8.2,19.5
"14","Hermanninmäki","211",5795,32720,86,3.2,10.8,25.3,18.3,10,60.2,39.8,11.9,8.3,19.7
"15","Hermanninranta","212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Hernesaari","204",1152,72927,78,10.5,11.5,31.6,15.1,7.9,60.4,39.6,8.7,5.6,25.3
"17","Herttoniemen yritysalue","433",1712,31177,78.4,3.3,18.2,17.7,21.6,7,62.3,37.7,13.7,5.9,18
